Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-17JUN22-40000-P,-,-,-,-,0.3107,0.7105,500,3,-,-0.98435,0.00001,1.85562,-8.36632,-9.46799,-
BTC-17JUN22-28000-P,0.0145,73,73.55,0.014,0.0147,0.015,75.79,44.9,651.9,-0.21058,0.00008,13.63925,-58.55083,-1.64679,289.8
BTC-17JUN22-45000-P,0.49,-,-,-,0.4739,0.8735,500,3,1,-0.99827,-,0.26312,-1.26268,-10.76261,-
BTC-17JUN22-34000-P,0.098,-,-,-,0.1213,0.1945,200.21,48.3,124.5,-0.84537,0.00008,11.24137,-41.86158,-7.06724,8
BTC-17JUN22-25000-P,0.004,78.6,88.68,0.004,0.0044,0.005,93.59,147.1,368.8,-0.0672,0.00003,6.14749,-31.85599,-0.52331,42.8
BTC-17JUN22-29000-P,0.021,97.5,69.71,0.0215,0.0224,0.0225,71.57,8.3,665.8,-0.3006,0.0001,16.44287,-67.0521,-2.36107,227.4
BTC-17JUN22-33000-P,0.099,-,-,-,0.0938,0.1705,197.11,34,4.5,-0.76594,0.0001,14.48751,-53.623,-6.28567,-
BTC-17JUN22-29000-C,0.065,8.4,69.21,0.0715,0.0726,0.0745,74.77,20.4,453,0.69946,0.0001,16.44184,-67.04791,4.58309,4.2
BTC-17JUN22-27000-P,0.0112,98.5,77.7,0.009,0.0097,0.01,80.56,92.1,685.6,-0.14452,0.00006,10.7452,-48.94293,-1.1273,110.7
BTC-17JUN22-22000-P,0.0015,98.3,103.27,0.001,0.0015,0.002,115.71,111.9,158.1,-0.02246,0.00001,2.52349,-15.92958,-0.17529,33.6
BTC-17JUN22-30000-C,0.051,15,67.27,0.0505,0.051,0.052,69.76,10,1199.6,0.58717,0.00012,18.39815,-71.81876,3.91954,90.5
BTC-17JUN22-31000-C,0.0355,38.1,65.39,0.0335,0.034,0.0345,67.02,44.1,555.1,0.46178,0.00013,18.76336,-71.178,3.12723,336.1
BTC-17JUN22-32000-P,0.0761,12.1,60.68,0.067,0.0696,0.071,67.76,16.7,205.6,-0.66073,0.00012,17.29853,-64.4676,-5.33905,108.1
BTC-17JUN22-27000-C,0.107,3.2,-,0.005,0.1254,0.183,200.6,36.3,0.1,0.85548,0.00006,10.7452,-48.94293,5.33759,-
BTC-17JUN22-20000-C,-,3.2,-,0.2255,0.3457,0.426,424.56,3.2,-,0.9893,-,1.33549,-9.47512,4.70515,-
BTC-17JUN22-21000-C,-,3.2,-,0.193,0.3132,0.3935,393.89,3.2,-,0.98568,0.00001,1.71887,-11.33183,4.91661,-
BTC-17JUN22-26000-C,-,3.2,-,0.035,0.1549,0.2355,264.29,3.2,-,0.90163,0.00004,8.19306,-39.74495,5.45918,-
BTC-17JUN22-21000-P,0.0015,81.3,105.38,0.0005,0.001,0.0015,123.56,99.5,108.1,-0.01431,0.00001,1.71854,-11.3297,-0.11162,8.4
BTC-17JUN22-24000-P,0.0025,105.6,93.12,0.0025,0.0031,0.0035,99.85,66.7,304.6,-0.04724,0.00002,4.6568,-25.96478,-0.36823,41.7
BTC-17JUN22-30000-P,0.0377,9.4,67.32,0.033,0.0336,0.034,68.97,12.5,762.2,-0.41283,0.00012,18.39815,-71.81876,-3.26368,544.6
BTC-17JUN22-24000-C,-,3.2,-,0.097,0.2171,0.2975,311.83,3.2,-,0.95276,0.00002,4.6568,-25.96478,5.37835,-
BTC-17JUN22-33000-C,0.014,113,63.54,0.0125,0.013,0.0135,65.64,14.5,910.3,0.23406,0.0001,14.48751,-53.623,1.61587,357.3
BTC-17JUN22-23000-C,-,3.2,-,0.129,0.2488,0.3295,338.35,3.2,-,0.96859,0.00001,3.33957,-19.64638,5.2624,-
BTC-17JUN22-32000-C,0.0239,54.1,64.2,0.021,0.0215,0.022,65.96,38.9,1512.3,0.33921,0.00012,17.29706,-64.46209,2.32261,391.6
BTC-17JUN22-50000-P,-,-,-,-,0.6376,-,-,-,-,-0.99991,-,0.01772,-0.08505,-11.97136,-
