Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-24JUN22-30000-C,0.0635,23,64.99,0.0645,0.0652,0.066,66.85,17,1220.8,0.58906,0.00009,24.75716,-51.74408,6.92497,56.6
BTC-24JUN22-52000-P,0.659,3,-,0.0955,0.6967,1.096,500,3.2,2.9,-0.99706,-,0.57161,-1.62316,-22.38872,-
BTC-24JUN22-32000-P,0.0815,9,61.5,0.077,0.078,0.0795,64.63,18.8,526.8,-0.60463,0.0001,24.51419,-48.90473,-9.02348,40.2
BTC-24JUN22-55000-C,0.0001,-,-,-,0.0001,0.0005,109.85,70,1595.8,0.00112,-,0.23785,-0.67548,0.01408,39.6
BTC-24JUN22-34000-C,0.0165,78,61.01,0.0155,0.0161,0.0165,62.6,19.8,1813.3,0.2291,0.00008,19.28489,-37.95861,2.81553,259.2
BTC-24JUN22-25000-C,0.174,15.5,74.64,0.1905,0.1933,0.1965,90.95,1.2,43.4,0.89846,0.00003,11.2958,-29.65738,9.32153,-
BTC-24JUN22-24000-P,0.007,14,87.11,0.0065,0.0067,0.007,88.79,46.4,1802.6,-0.07573,0.00003,9.07684,-25.27641,-1.08911,261.3
BTC-24JUN22-15000-C,0.506,26.5,-,0.5075,0.5113,0.513,175.83,12.4,86.4,0.99342,-,1.17442,-5.51913,6.37236,-
BTC-24JUN22-70000-C,0.0005,-,-,-,-,0.0005,147.74,71,3783.7,0.00007,-,0.01848,-0.05974,0.00091,39.2
BTC-24JUN22-300000-C,0.0015,-,-,-,-,0.0005,350.07,71,386.1,-,-,-,-,-,-
BTC-24JUN22-150000-P,-,-,-,-,3.8938,-,-,-,-,-1,-,0.00005,-0.00023,-64.68893,-
BTC-24JUN22-40000-C,0.002,10.2,68.93,0.002,0.0022,0.0025,71.72,36,6029.8,0.03956,0.00002,5.43544,-12.10485,0.49372,42.9
BTC-24JUN22-32000-C,0.0345,27.3,62.2,0.0335,0.034,0.0345,63.45,68.5,2942.6,0.39537,0.0001,24.51419,-48.90473,4.77682,256.2
BTC-24JUN22-44000-P,0.3735,2.2,-,0.01,0.4362,0.837,500,3.2,180.4,-0.98632,0.00001,2.22674,-5.38831,-18.80413,-
BTC-24JUN22-55000-P,0.899,1,-,0.196,0.7945,1.1915,500,1.2,18.1,-0.99888,-,0.23782,-0.6754,-23.7052,-
BTC-24JUN22-35000-C,0.0115,84.6,61.44,0.0105,0.011,0.0115,63.35,65.5,2143.6,0.16869,0.00006,16.02714,-31.76999,2.08434,98.8
BTC-24JUN22-48000-C,0.0005,-,-,-,0.0005,0.001,95.36,93.6,530.5,0.00844,-,1.46275,-4.0475,0.10523,-
BTC-24JUN22-26000-C,0.186,6.2,66.62,0.159,0.1638,0.168,86.9,9.2,33.7,0.86335,0.00004,13.93487,-34.56983,9.24682,-
BTC-24JUN22-65000-P,-,2,-,0.001,1.1207,-,-,-,-,-0.99972,-,0.06583,-0.21282,-28.02837,-
BTC-24JUN22-300000-P,-,5,-,0.0005,8.7876,-,-,-,-,-1,-,-,-,-129.37785,-
BTC-24JUN22-150000-C,0.0002,-,-,-,-,0.0005,258.07,71,2003.5,-,-,0.00005,-0.00023,-,-
BTC-24JUN22-34000-P,0.165,28.6,55.52,0.1215,0.1254,0.13,69.03,23.1,231.3,-0.7709,0.00008,19.28489,-37.95861,-11.84729,0.1
BTC-24JUN22-10000-P,0.0005,-,-,-,0.0001,0.0005,215.62,97.7,1209,-0.00056,-,0.12509,-0.69624,-0.00815,6
BTC-24JUN22-45000-P,0.565,-,-,-,0.4689,0.8695,500,3,368.9,-0.98702,0.00001,2.12764,-5.41047,-19.24457,-
BTC-24JUN22-60000-C,0.0005,-,-,-,-,0.0005,123.75,86.5,6838.2,0.00057,-,0.12696,-0.38878,0.00711,-
BTC-24JUN22-29000-C,0.078,15.8,65.54,0.084,0.0859,0.0875,70.24,15.7,768.5,0.67798,0.00008,22.82151,-49.34629,7.82634,48.5
BTC-24JUN22-25000-P,0.0095,81.9,81.53,0.0085,0.0089,0.009,82.9,6.3,5567.3,-0.10154,0.00003,11.2958,-29.65738,-1.45996,479.3
BTC-24JUN22-38000-C,0.0035,87.1,64.81,0.0035,0.004,0.0045,68.44,107.7,2508.9,0.0686,0.00003,8.41415,-17.78692,0.85437,29.6
BTC-24JUN22-48000-P,0.623,-,-,-,0.5665,0.967,500,3,76.9,-0.99156,-,1.46275,-4.0475,-20.59523,-
BTC-24JUN22-60000-P,1.065,1,-,0.0125,0.9576,1.164,494.69,1,154.2,-0.99943,-,0.12696,-0.38878,-25.86846,-
BTC-24JUN22-31000-C,0.051,37.6,63.07,0.047,0.0478,0.048,64.28,2.4,844.3,0.49251,0.0001,25.38823,-51.68453,5.87761,198.7
BTC-24JUN22-36000-P,0.154,27.2,45.87,0.1765,0.1821,0.1875,74.55,26.5,413,-0.87653,0.00005,12.99008,-26.12755,-13.99385,-
BTC-24JUN22-50000-C,0.0005,-,-,-,0.0003,0.001,102.59,117.3,2798.2,0.00514,-,0.94289,-2.65498,0.06415,49.4
BTC-24JUN22-26000-P,0.0125,119.5,76.81,0.0115,0.0121,0.0125,79.01,32.1,2125.6,-0.13665,0.00004,13.93487,-34.56983,-1.96593,152.4
BTC-24JUN22-90000-P,2.284,-,-,-,1.9363,-,-,-,1,-0.99999,-,0.00335,-0.01267,-38.81321,-
BTC-24JUN22-35000-P,0.156,23.9,57.53,0.1505,0.1529,0.1575,70.61,28.5,2973.1,-0.83131,0.00006,16.02714,-31.76999,-13.00974,6.9
BTC-24JUN22-250000-C,0.0005,-,-,-,-,0.0005,326.48,77,364.2,-,-,-,-,-,-
BTC-24JUN22-40000-P,0.37,3.2,-,0.2995,0.3072,0.3245,117.62,3,1518.2,-0.96045,0.00002,5.43491,-12.10366,-16.75671,1
