Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-26AUG22-40000-C,0.0285,26,60.19,0.0295,0.0298,0.0305,60.93,34.4,358.7,0.21275,0.00003,41.47209,-15.91638,12.13259,0.9
BTC-26AUG22-10000-C,-,-,-,-,0.6767,-,-,-,-,0.99083,-,3.52922,-2.59319,20.8329,-
BTC-26AUG22-26000-C,0.215,-,-,-,0.2103,0.4125,200.18,49.3,0.2,0.75275,0.00003,45.11386,-19.78182,35.98047,4
BTC-26AUG22-28000-C,0.1565,8,64.28,0.1635,0.1669,0.17,68.17,12.9,29.2,0.67646,0.00004,51.30316,-21.6007,33.79928,-
BTC-26AUG22-28000-P,0.0675,41,65.67,0.0765,0.0777,0.078,66.57,4.7,76.7,-0.32354,0.00004,51.30316,-21.6007,-26.60422,1.9
BTC-26AUG22-80000-C,0.001,10.9,80.54,0.001,0.0012,0.0015,84.38,17.7,35,0.01041,-,3.94176,-2.0594,0.61033,-
BTC-26AUG22-14000-C,-,-,-,-,0.5502,-,-,-,-,0.97341,-,8.78762,-5.55186,28.06971,-
BTC-26AUG22-45000-C,0.015,29.7,61.45,0.0145,0.0148,0.0155,62.53,51.7,118.3,0.11856,0.00002,28.32475,-11.12473,6.87789,3.7
BTC-26AUG22-50000-P,-,-,-,-,0.6345,-,-,-,-,-0.93008,0.00001,19.1565,-7.8323,-103.77432,-
BTC-26AUG22-80000-P,-,-,-,-,1.6031,-,-,-,-,-0.98959,-,3.94176,-2.0594,-171.9711,-
BTC-26AUG22-15000-C,-,-,-,-,0.5192,-,-,-,-,0.96624,0.00001,10.71322,-6.55181,29.65169,-
BTC-26AUG22-30000-P,0.103,43.2,63.46,0.104,0.1052,0.106,64.57,8.1,68.9,-0.40851,0.00004,55.46647,-22.57003,-34.06803,1
BTC-26AUG22-10000-P,0.0035,79.7,111.14,0.0015,0.002,0.002,115.88,0.1,128.5,-0.00917,-,3.52922,-2.59319,-0.73978,-
BTC-26AUG22-18000-P,0.013,34.9,85.85,0.0125,0.0129,0.013,86.73,5.6,260.9,-0.06253,0.00001,17.56988,-9.64777,-5.00028,8.4
BTC-26AUG22-16000-C,-,-,-,-,0.4882,-,-,-,-,0.95841,0.00001,12.70236,-7.47635,31.18679,-
BTC-26AUG22-34000-C,0.0825,28.4,60.7,0.0725,0.0734,0.0735,61.25,2,46.6,0.41635,0.00004,55.71439,-21.67333,22.7395,0.3
BTC-26AUG22-20000-C,-,-,-,-,0.3685,-,-,-,-,0.90807,0.00001,23.5587,-12.14578,35.78538,-
BTC-26AUG22-35000-C,0.063,68.4,60.12,0.062,0.0632,0.064,61.25,25.8,133.9,0.37551,0.00004,54.17456,-20.92775,20.711,5.8
BTC-26AUG22-32000-C,0.098,12.6,61.7,0.097,0.0983,0.0995,63.05,58.9,108.3,0.50293,0.00004,56.96989,-22.5979,26.83051,26.1
BTC-26AUG22-50000-C,0.0085,5.4,63.96,0.008,0.0083,0.0085,64.76,2.8,116.3,0.06992,0.00001,19.1565,-7.8323,4.08907,0.4
BTC-26AUG22-18000-C,-,-,-,-,0.4274,-,-,-,-,0.93747,0.00001,17.56988,-9.64777,33.83054,-
BTC-26AUG22-34000-P,0.156,-,-,-,0.1795,0.432,200.25,0.1,0.1,-0.58365,0.00004,55.71439,-21.67333,-50.6076,-
BTC-26AUG22-55000-P,-,-,-,-,0.7937,-,-,-,-,-0.95683,0.00001,13.0895,-5.56382,-116.1126,-
BTC-26AUG22-36000-P,-,-,-,-,0.2252,0.479,200.08,48.5,-,-0.6629,0.00004,52.15302,-20.0492,-58.90881,-
BTC-26AUG22-36000-C,0.0525,24,60.03,0.0535,0.0543,0.055,60.91,15.5,115,0.3371,0.00004,52.15302,-20.0492,18.75283,21
BTC-26AUG22-22000-P,0.0295,42,75.84,0.027,0.0277,0.028,76.85,4.3,116.9,-0.13135,0.00002,30.4257,-14.77371,-10.54406,18.1
BTC-26AUG22-60000-P,-,-,-,-,0.9548,-,-,-,-,-0.97009,0.00001,9.6915,-4.33051,-127.67744,-
BTC-26AUG22-45000-P,-,-,-,-,0.4784,0.7055,199.81,44.4,-,-0.88144,0.00002,28.32475,-11.12473,-90.19916,-
BTC-26AUG22-30000-C,0.1255,13.2,63.31,0.128,0.1293,0.13,64.41,1.8,34.8,0.59149,0.00004,55.46647,-22.57003,30.65001,3
BTC-26AUG22-14000-P,0.0065,81.2,97.49,0.005,0.0056,0.006,101.01,57.2,88.8,-0.02659,-,8.78762,-5.55186,-2.13204,-
BTC-26AUG22-20000-P,0.0185,34.6,80.49,0.0185,0.0191,0.0195,81.8,37.2,211.1,-0.09193,0.00001,23.5587,-12.14578,-7.35998,13
BTC-26AUG22-15000-P,0.0065,64.5,94.69,0.0065,0.0071,0.0075,97.57,67.1,60.8,-0.03376,0.00001,10.71322,-6.55181,-2.70733,15.1
BTC-26AUG22-24000-P,0.042,6.4,71.95,0.039,0.0397,0.04,72.76,7.2,141.9,-0.18288,0.00003,37.84649,-17.41047,-14.75727,5.2
BTC-26AUG22-55000-C,0.005,56.1,65.94,0.0045,0.0049,0.0055,68.27,31.6,39.3,0.04317,0.00001,13.0895,-5.56382,2.53713,-
BTC-26AUG22-24000-C,-,-,-,-,0.259,0.439,200.31,47.4,-,0.81712,0.00003,37.84649,-17.41047,37.01716,-
BTC-26AUG22-16000-P,0.0085,73.8,91.2,0.008,0.0086,0.009,93.64,35,143.5,-0.04159,0.00001,12.70236,-7.47635,-3.3295,1.1
BTC-26AUG22-22000-C,-,-,-,-,0.3121,0.4675,200.26,45.8,-,0.86865,0.00002,30.4257,-14.77371,36.91583,-
BTC-26AUG22-35000-P,-,-,-,-,0.2016,0.2945,111.63,42.9,-,-0.62449,0.00004,54.17456,-20.92775,-54.79337,-
BTC-26AUG22-40000-P,0.36,-,-,-,0.3308,0.5775,200.2,0.1,1,-0.78725,0.00003,41.47209,-15.91638,-74.15812,-
BTC-26AUG22-70000-C,0.002,24.2,74.5,0.0015,0.0018,0.002,77.26,22.6,88.2,0.01564,-,5.60584,-2.70616,0.92045,1
BTC-26AUG22-70000-P,-,-,-,-,1.2784,-,-,-,-,-0.98436,-,5.60584,-2.70616,-150.0883,-
BTC-26AUG22-32000-P,0.137,5.2,61.83,0.138,0.1393,0.1405,63.18,7.3,57.4,-0.49707,0.00004,56.96989,-22.5979,-42.20206,2.3
BTC-26AUG22-60000-C,0.0035,37,69.08,0.003,0.0034,0.0035,70.71,3,105.2,0.02991,0.00001,9.6915,-4.33051,1.75863,-
