Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-29JUL22-15000-P,0.005,78.4,103.69,0.0035,0.004,0.0045,108.55,18.5,968.6,-0.02333,-,6.33918,-6.55975,-1.17985,11
BTC-29JUL22-32000-P,0.105,5,60.27,0.116,0.1175,0.1205,63.29,12.5,353.7,-0.52925,0.00006,45.73193,-27.37815,-27.90719,3.8
BTC-29JUL22-65000-C,0.001,139.8,75.48,0.0005,0.0008,0.0015,85.62,14.5,111.4,0.00905,-,2.80626,-2.17836,0.35429,-
BTC-29JUL22-36000-P,0.1805,0.5,-,0.01,0.2075,0.413,199.97,0.1,158.4,-0.73127,0.00005,37.89616,-21.85762,-40.50542,6
BTC-29JUL22-46000-P,-,-,-,-,0.5062,-,-,-,-,-0.94313,0.00002,13.12243,-8.14239,-62.53216,-
BTC-29JUL22-35000-P,0.262,-,-,-,0.1824,0.3895,199.9,0.1,0.3,-0.68687,0.00005,40.70756,-23.57863,-37.50623,-
BTC-29JUL22-42000-P,0.378,-,-,-,0.3804,0.561,199.82,0.1,10.2,-0.89832,0.00003,20.40797,-12.06797,-55.17415,-
BTC-29JUL22-60000-P,-,-,-,-,0.9588,-,-,-,-,-0.98636,-,4.0086,-2.97534,-83.92843,-
BTC-29JUL22-38000-P,0.262,-,-,-,0.2616,0.461,199.98,0.1,99.1,-0.80547,0.00004,31.62812,-18.21659,-46.04039,-
BTC-29JUL22-18000-P,0.0095,5.2,93.38,0.0075,0.0079,0.0085,96.09,43,554.7,-0.04708,0.00001,11.29293,-10.39999,-2.37244,1.5
BTC-29JUL22-24000-P,0.029,14.1,74.57,0.026,0.0269,0.0275,76.23,65.9,905.4,-0.15833,0.00003,27.77479,-20.46308,-7.99333,11.7
BTC-29JUL22-42000-C,0.01,102,59.93,0.0095,0.0101,0.011,62.16,15.1,523.8,0.10168,0.00003,20.40797,-12.06797,3.94948,12
BTC-29JUL22-44000-P,0.182,-,-,-,0.4428,-,-,-,0.1,-0.92455,0.00002,16.33755,-9.89143,-58.998,-
BTC-29JUL22-75000-P,-,-,-,-,1.4474,-,-,-,-,-0.99542,-,1.53597,-1.28858,-105.39882,-
BTC-29JUL22-32000-C,0.083,36,61.11,0.0725,0.0735,0.074,62.11,2,739.7,0.46989,0.00006,45.70174,-27.36008,17.10229,370.3
BTC-29JUL22-48000-P,-,-,-,-,0.5701,-,-,-,-,-0.95611,0.00001,10.67199,-6.79919,-65.85253,-
BTC-29JUL22-34000-C,0.0575,2.8,59.74,0.049,0.0497,0.0505,60.8,6,388.9,0.36221,0.00005,43.07052,-25.14697,13.48466,109.3
BTC-29JUL22-38000-C,0.022,10.6,58.97,0.0215,0.0218,0.023,60.41,26.8,1414.2,0.19515,0.00004,31.70517,-18.26096,7.47913,19.1
BTC-29JUL22-75000-C,0.0005,4,87.68,0.0005,0.0004,0.001,94.39,14.8,70,0.00456,-,1.52904,-1.28276,0.1782,0.1
BTC-29JUL22-55000-P,-,-,-,-,0.7962,-,-,-,-,-0.98001,0.00001,5.55922,-3.85974,-76.63998,-
BTC-29JUL22-20000-C,-,6,-,0.0005,0.3596,-,-,-,-,0.92763,0.00001,15.82548,-13.51318,24.51025,-
BTC-29JUL22-50000-C,0.003,12.9,66.68,0.003,0.0032,0.004,69.96,64.9,282.7,0.03455,0.00001,8.78315,-5.74653,1.35312,19.1
BTC-29JUL22-34000-P,0.1315,-,-,-,0.159,0.216,98.52,0.1,175.7,-0.63779,0.00005,43.07052,-25.14697,-34.37732,-
BTC-29JUL22-55000-C,0.002,54,69.58,0.0015,0.0018,0.0025,74.79,20.1,261.9,0.01999,0.00001,5.55922,-3.85974,0.78382,-
BTC-29JUL22-40000-C,0.013,2.4,59.69,0.0145,0.0147,0.0155,60.87,3.9,1258.3,0.14025,0.00003,25.602,-14.89438,5.41706,37.3
BTC-29JUL22-48000-C,0.0035,5.8,65.34,0.004,0.0041,0.005,68.04,71.5,196,0.04389,0.00001,10.67199,-6.79919,1.71733,4.1
BTC-29JUL22-16000-C,-,-,-,-,0.4831,-,-,-,-,0.97005,0.00001,7.80694,-7.77955,21.01059,-
BTC-29JUL22-16000-P,0.0055,4.1,101.85,0.005,0.0051,0.0055,103.79,16.4,180.7,-0.02995,0.00001,7.80694,-7.77955,-1.5127,2.9
BTC-29JUL22-15000-C,-,-,-,-,0.5146,-,-,-,-,0.9766,-,6.35181,-6.57281,19.93275,-
BTC-29JUL22-100000-P,-,5,-,0.0005,2.2626,-,-,-,-,-0.99912,-,0.34571,-0.32105,-140.73584,-
BTC-29JUL22-65000-P,-,-,-,-,1.1215,-,-,-,-,-0.99099,-,2.79381,-2.1687,-91.14832,-
