Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-30DEC22-90000-P,1.099,-,-,-,1.9055,-,-,-,8.1,-0.95542,0.00001,21.87804,-3.85351,-498.5063,-
BTC-30DEC22-50000-P,0.726,10,-,0.6095,0.6592,1.0465,200.1,0.1,104.1,-0.77636,0.00002,69.53287,-10.81031,-250.15129,-
BTC-30DEC22-25000-C,0.287,9,67.88,0.2945,0.2992,0.303,71.46,11.5,30.3,0.75069,0.00002,73.8212,-12.58987,78.67684,-
BTC-30DEC22-100000-C,0.0065,9.8,73.88,0.006,0.0064,0.007,75.6,29.4,2269.2,0.03474,-,17.86013,-3.25171,4.93957,10.2
BTC-30DEC22-60000-P,0.977,60,-,0.05,0.9588,1.327,200.19,0.1,63.6,-0.86528,0.00001,50.44054,-8.02988,-317.83662,-
BTC-30DEC22-22000-P,0.0745,11.4,72.31,0.071,0.0723,0.0725,73.07,2.3,326.2,-0.18306,0.00002,61.67304,-10.9933,-44.48801,5.6
BTC-30DEC22-50000-C,0.0485,33.6,63.14,0.0485,0.0497,0.0505,64.04,15,1245.2,0.22364,0.00002,69.53287,-10.81031,30.31485,165
BTC-30DEC22-250000-C,0.001,119.9,90.04,0.0005,0.0009,0.0015,99.35,59.2,574.3,0.00481,-,3.24799,-0.75031,0.68307,-
BTC-30DEC22-15000-P,0.0265,24.3,83.57,0.0255,0.0264,0.027,85.05,56,1605.7,-0.0713,0.00001,31.6698,-6.53507,-17.02293,5.8
BTC-30DEC22-300000-C,0.0005,41.1,96.59,0.0005,0.0007,0.001,102.45,29.2,448.2,0.00377,-,2.61273,-0.63457,0.53273,76.4
BTC-30DEC22-70000-C,0.0165,12.1,67.13,0.0165,0.0169,0.0175,67.97,40.8,2696.7,0.08756,0.00001,37.01338,-6.09631,12.31648,4.9
BTC-30DEC22-45000-P,0.6215,-,-,-,0.5182,0.91,200.01,0.2,15.1,-0.7074,0.00002,79.94233,-12.35392,-213.5651,-
BTC-30DEC22-28000-P,0.144,11.8,66.82,0.1425,0.1441,0.1445,67.57,3.2,579.8,-0.32346,0.00002,83.56893,-13.76042,-81.47073,8.8
BTC-30DEC22-26000-C,0.262,12.8,67.4,0.2755,0.2795,0.2835,70.61,11.9,12.1,0.72664,0.00002,77.39843,-13.03906,77.91946,-
BTC-30DEC22-120000-P,-,-,-,-,2.867,-,-,-,-,-0.97792,-,12.2484,-2.34106,-669.96944,-
BTC-30DEC22-10000-P,0.01,16.3,96.95,0.01,0.0105,0.011,99.03,32.2,101.9,-0.02797,-,14.93353,-3.57304,-6.70026,5.9
BTC-30DEC22-200000-C,0.0015,105.7,87.11,0.001,0.0014,0.002,93.31,43.6,710.6,0.0077,-,4.92847,-1.08441,1.094,2.6
