Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-30SEP22-24000-P,0.059,31.6,70.7,0.055,0.0559,0.056,71.34,2.7,395.8,-0.20395,0.00002,48.73437,-15.2695,-24.95701,28.1
BTC-30SEP22-80000-C,0.003,30.6,74.67,0.0025,0.0029,0.0035,78.14,18.9,1790.6,0.02137,-,8.8098,-2.95516,1.76945,0.6
BTC-30SEP22-400000-C,0.0005,-,-,-,-,0.0005,143.53,28,331.3,0.0001,-,0.06714,-0.03354,0.00821,-
BTC-30SEP22-50000-C,0.0185,78.8,62.88,0.017,0.0176,0.0185,64.24,57.2,1484.9,0.11731,0.00002,33.86999,-9.44939,9.57241,29.7
BTC-30SEP22-300000-C,0.0005,-,-,-,0.0001,0.0005,129.97,28,200.2,0.00054,-,0.3277,-0.16373,0.04425,-
BTC-30SEP22-60000-P,0.9,1,-,0.8,0.9548,1.1,158.96,1,154.4,-0.9427,0.00001,19.76784,-5.87067,-182.24117,11
BTC-30SEP22-50000-P,0.6555,3,31.84,0.6225,0.6399,0.651,72.45,3,563.3,-0.88269,0.00002,33.86999,-9.44939,-146.23619,-
BTC-30SEP22-250000-C,0.001,-,-,-,0.0002,0.0005,121.18,13,1076.8,0.00117,-,0.6686,-0.32846,0.09547,-
BTC-30SEP22-120000-P,2.061,-,-,-,2.8943,-,-,-,1,-0.99366,-,3.07252,-1.20011,-373.41651,-
BTC-30SEP22-400000-P,-,5.1,-,0.0005,11.978,-,-,-,-,-0.9999,-,0.06714,-0.03355,-1246.46059,-
BTC-30SEP22-120000-C,0.0005,38.1,84.13,0.0005,0.0009,0.0015,93.88,74.5,802.6,0.00634,-,3.07252,-1.20011,0.52412,10.1
BTC-30SEP22-32000-P,0.16,15.1,62.47,0.161,0.1626,0.1635,63.59,8,76,-0.47213,0.00004,68.47059,-19.01868,-60.96084,22.9
BTC-30SEP22-200000-C,0.0005,-,-,-,0.0002,0.001,117.26,114.9,835.2,0.0014,-,0.78721,-0.35401,0.11539,-
BTC-30SEP22-40000-C,0.05,23,60.94,0.049,0.0492,0.0495,61.21,3,2331.2,0.27612,0.00003,57.52237,-15.44047,21.79143,86.6
BTC-30SEP22-20000-P,0.0295,27.5,77.85,0.029,0.0298,0.03,78.78,13.3,2838.1,-0.11401,0.00001,33.19096,-11.46149,-13.80798,1.2
BTC-30SEP22-100000-C,0.0005,78.6,79.76,0.001,0.0014,0.002,86.19,20.5,1630.4,0.01044,-,4.76252,-1.73683,0.86512,-
BTC-30SEP22-300000-P,-,-,-,-,8.7336,-,-,-,-,-0.99946,-,0.3277,-0.16373,-934.80735,-
